INITIAL DISTRIBUTION	MB
BIN SIZE	0.179382
T_SIGN	BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
1	4	0.896908	1.07629	2.2625	3.83023	0.39263
1	5	1.07629	1.25567	3.3225	4.93527	0.454747
1	6	1.25567	1.43505	4.8145	6.61405	0.451394
1	7	1.43505	1.61443	8.511	6.85077	0.356454
1	8	1.61443	1.79382	8.149	7.11	0.343356
1	9	1.79382	1.9732	9.8335	9.05755	0.309297
1	10	1.9732	2.15258	7.6435	8.30909	0.298027
1	11	2.15258	2.33196	8.3005	7.89482	0.334373
1	12	2.33196	2.51134	8.466	8.00891	0.373608
1	13	2.51134	2.69072	5.9025	6.38359	0.413857
1	14	2.69072	2.87011	5.441	6.26009	0.309825
1	15	2.87011	3.04949	6.2495	5.33777	0.323458
1	16	3.04949	3.22887	5.79	4.78386	0.313539
1	17	3.22887	3.40825	4.769	4.46709	0.280721
1	18	3.40825	3.58763	4.523	3.34705	0.199131
1	19	3.58763	3.76701	2.743	2.41768	0.174814
1	20	3.76701	3.9464	2.3825	2.52218	0.130959
1	21	3.9464	4.12578	1.504	1.46623	0.162527
1	22	4.12578	4.30516	0.8785	0.955	0.165562
1	23	4.30516	4.48454	0.417	0.646818	0.129532
1	24	4.48454	4.66392	0.0515	0.256045	0.0393096
1	25	4.66392	4.8433	0.1845	0.102227	0.0236088
1	26	4.8433	5.02269	0.019	0.157955	0.0531705
1	27	5.02269	5.20207	0	0.227455	0.0875058
1	28	5.20207	5.38145	0	0.114091	0.0652062
1	29	5.38145	5.56083	0	0.0925909	0.0541479

1	0	0.179382	0.358763	0.484	0.355292	0.0607811
1	1	0.358763	0.538145	1.139	0.780792	0.0941218
1	2	0.538145	0.717527	1.567	1.84742	0.262565
1	3	0.717527	0.896908	1.7715	2.50208	0.230435
1	4	0.896908	1.07629	3.91	3.83688	0.359968
1	5	1.07629	1.25567	3.204	4.791	0.439142
1	6	1.25567	1.43505	7.186	6.66171	0.416286
1	7	1.43505	1.61443	6.1225	6.79008	0.331876
1	8	1.61443	1.79382	6.449	7.05492	0.319131
1	9	1.79382	1.9732	8.169	8.9835	0.292251
1	10	1.9732	2.15258	10.1745	8.46454	0.311102
1	11	2.15258	2.33196	9.008	7.98758	0.319117
1	12	2.33196	2.51134	8.726	8.06867	0.34722
1	13	2.51134	2.69072	7.5145	6.47783	0.389952
1	14	2.69072	2.87011	5.4175	6.18987	0.291854
1	15	2.87011	3.04949	6.7385	5.4545	0.316866
1	16	3.04949	3.22887	4.785	4.78396	0.287411
1	17	3.22887	3.40825	5.0865	4.51871	0.26203
1	18	3.40825	3.58763	2.6075	3.28542	0.191837
1	19	3.58763	3.76701	1.79	2.36537	0.167889
1	20	3.76701	3.9464	2.995	2.56158	0.125834
1	21	3.9464	4.12578	1.4745	1.46692	0.148985
1	22	4.12578	4.30516	0.249	0.896167	0.161881
1	23	4.30516	4.48454	0.007	0.5935	0.129246
1	24	4.48454	4.66392	0.0075	0.235333	0.04113
1	25	4.66392	4.8433	0.1145	0.10325	0.0216636
1	26	4.8433	5.02269	0.0175	0.14625	0.0500113
1	27	5.02269	5.20207	0.3755	0.239792	0.0810786
1	28	5.20207	5.38145	0.68	0.16125	0.0749091
1	29	5.38145	5.56083	0.2295	0.104	0.0508233

1	0	0.179382	0.358763	0.5805	0.372615	0.0585224
1	1	0.358763	0.538145	0.9805	0.796154	0.0881264
1	2	0.538145	0.717527	0.987	1.78123	0.250571
1	3	0.717527	0.896908	1.959	2.46031	0.216463
1	4	0.896908	1.07629	5.434	3.95973	0.35262
1	5	1.07629	1.25567	4.031	4.73254	0.409234
1	6	1.25567	1.43505	5.6305	6.58238	0.391749
1	7	1.43505	1.61443	7.077	6.81215	0.30708
1	8	1.61443	1.79382	8.592	7.17315	0.315727
1	9	1.79382	1.9732	7.641	8.88023	0.287437
1	10	1.9732	2.15258	10.076	8.5885	0.310887
1	11	2.15258	2.33196	8.083	7.99492	0.294654
1	12	2.33196	2.51134	8.284	8.08523	0.320906
1	13	2.51134	2.69072	6.8895	6.5095	0.361239
1	14	2.69072	2.87011	6.539	6.21673	0.270637
1	15	2.87011	3.04949	5.069	5.42485	0.293876
1	16	3.04949	3.22887	4.286	4.74565	0.267843
1	17	3.22887	3.40825	3.8735	4.46908	0.246529
1	18	3.40825	3.58763	3.0965	3.27088	0.17763
