walk_id	step	x	y	z
2	67	3	-7	-3
3	67	4	1	-6
4	67	-5	-7	5
5	67	-3	-7	3
6	67	6	1	10
7	67	7	1	1
8	67	-2	1	-4
9	67	-2	-5	4
0	68	3	-3	0
1	68	-3	-7	2
2	68	3	-6	-3
3	68	4	0	-6
4	68	-5	-6	5
5	68	-4	-7	3
6	68	5	1	10
7	68	8	1	1
8	68	-3	1	-4
9	68	-2	-5	3
0	69	3	-3	-1
1	69	-3	-7	1
2	69	3	-6	-4
3	69	4	0	-7
4	69	-5	-6	4
5	69	-4	-7	2
6	69	4	1	10
7	69	7	1	1
8	69	-4	1	-4
9	69	-1	-5	3
0	70	4	-3	-1
1	70	-2	-7	1
2	70	2	-6	-4
3	70	3	0	-7
4	70	-6	-6	4
5	70	-5	-7	2
6	70	3	1	10
7	70	6	1	1
8	70	-5	1	-4
9	70	-1	-4	3
0	71	3	-3	-1
1	71	-1	-7	1
2	71	3	-6	-4
3	71	2	0	-7
4	71	-5	-6	4
5	71	-6	-7	2
6	71	4	1	10
7	71	6	1	0
8	71	-5	1	-5
9	71	-1	-4	4
0	72	3	-3	0
1	72	-1	-8	1
2	72	2	-6	-4
3	72	3	0	-7
4	72	-5	-6	5
5	72	-6	-7	1
6	72	4	0	10
7	72	7	1	0
8	72	-4	1	-5
9	72	-1	-4	3
0	73	3	-2	0
1	73	0	-8	1
2	73	2	-6	-3
3	73	3	1	-7
4	73	-4	-6	5
5	73	-6	-6	1
6	73	5	0	10
7	73	7	1	1
8	73	-4	0	-5
9	73	-2	-4	3
0	74	2	-2	0
1	74	0	-7	1
2	74	2	-6	-2
3	74	2	1	-7
4	74	-4	-7	5
5	74	-6	-6	0
6	74	6	0	10
7	74	7	2	1
8	74	-4	0	-6
9	74	-3	-4	3
0	75	1	-2	0
1	75	0	-7	2
2	75	1	-6	-2
3	75	2	1	-6
4	75	-4	-8	5
5	75	-6	-6	1
6	75	6	-1	10
7	75	7	2	2
8	75	-4	-1	-6
9	75	-2	-4	3
0	76	1	-3	0
1	76	0	-6	2
2	76	1	-6	-3
3	76	2	1	-5
4	76	-5	-8	5
5	76	-7	-6	1
6	76	6	0	10
7	76	7	1	2
8	76	-4	-1	-5
9	76	-1	-4	3
0	77	1	-3	-1
1	77	1	-6	2
2	77	0	-6	-3
3	77	2	0	-5
4	77	-5	-7	5
5	77	-7	-6	0
6	77	6	0	9
7	77	8	1	2
8	77	-5	-1	-5
9	77	0	-4	3
0	78	1	-3	0
1	78	0	-6	2
2	78	0	-6	-4
3	78	2	1	-5
4	78	-5	-7	6
5	78	-7	-5	0
6	78	5	0	9
7	78	8	0	2
8	78	-4	-1	-5
9	78	0	-4	4
0	79	1	-3	1
1	79	0	-5	2
2	79	-1	-6	-4
3	79	2	1	-4
4	79	-5	-8	6
5	79	-7	-4	0
6	79	6	0	9
7	79	8	0	1
8	79	-4	0	-5
9	79	-1	-4	4
0	80	1	-3	0
1	80	0	-4	2
2	80	-1	-6	-3
3	80	2	2	-4
4	80	-6	-8	6
5	80	-7	-4	-1
6	80	6	1	9
7	80	9	0	1
8	80	-4	0	-4
9	80	-2	-4	4
0	81	2	-3	0
1	81	-1	-4	2
2	81	-1	-6	-2
3	81	2	3	-4
4	81	-7	-8	6
5	81	-6	-4	-1
6	81	6	1	8
7	81	9	-1	1
8	81	-4	1	-4
9	81	-3	-4	4
0	82	2	-2	0
1	82	-1	-4	1
2	82	-1	-6	-3
3	82	3	3	-4
4	82	-7	-9	6
5	82	-6	-3	-1
6	82	6	1	9
7	82	8	-1	1
8	82	-3	1	-4
9	82	-3	-3	4
0	83	2	-2	-1
1	83	-1	-4	0
2	83	-1	-6	-2
3	83	3	3	-3
4	83	-7	-9	7
5	83	-6	-3	0
6	83	6	1	10
7	83	8	0	1
8	83	-3	2	-4
9	83	-3	-2	4
0	84	1	-2	-1
1	84	-1	-4	1
2	84	-1	-5	-2
3	84	2	3	-3
4	84	-7	-9	8
5	84	-6	-2	0
6	84	6	1	9
7	84	8	-1	1
8	84	-2	2	-4
9	84	-3	-2	5
0	85	2	-2	-1
1	85	-1	-3	1
2	85	-1	-5	-3
3	85	1	3	-3
4	85	-7	-8	8
5	85	-6	-2	1
6	85	7	1	9
7	85	7	-1	1
8	85	-2	1	-4
9	85	-3	-2	4
0	86	2	-1	-1
1	86	-2	-3	1
2	86	0	-5	-3
3	86	1	3	-2
4	86	-7	-9	8
5	86	-6	-1	1
6	86	6	1	9
7	86	7	-1	2
8	86	-2	0	-4
9	86	-3	-1	4
0	87	2	0	-1
1	87	-2	-3	2
2	87	0	-5	-4
3	87	1	3	-3
4	87	-7	-9	9
5	87	-5	-1	1
6	87	5	1	9
7	87	6	-1	2
8	87	-1	0	-4
9	87	-3	0	4
0	88	2	1	-1
1	88	-3	-3	2
2	88	0	-5	-5
3	88	1	4	-3
4	88	-7	-9	10
5	88	-5	-2	1
6	88	4	1	9
7	88	6	0	2
8	88	0	0	-4
9	88	-3	0	3
0	89	2	0	-1
1	89	-3	-4	2
2	89	0	-6	-5
3	89	1	3	-3
4	89	-7	-8	10
5	89	-5	-1	1
6	89	4	2	9
7	89	6	-1	2
8	89	0	-1	-4
9	89	-3	-1	3
0	90	2	-1	-1
1	90	-3	-5	2
2	90	0	-7	-5
3	90	0	3	-3
4	90	-8	-8	10
5	90	-6	-1	1
6	90	4	2	8
7	90	6	-1	1
8	90	0	-1	-5
9	90	-3	-2	3
0	91	2	0	-1
1	91	-2	-5	2
2	91	0	-8	-5
3	91	-1	3	-3
4	91	-8	-8	9
5	91	-7	-1	1
6	91	4	2	9
7	91	7	-1	1
8	91	0	-1	-4
9	91	-2	-2	3
0	92	2	0	-2
1	92	-2	-5	3
2	92	1	-8	-5
3	92	-2	3	-3
4	92	-8	-7	9
5	92	-7	-2	1
6	92	4	2	10
7	92	7	-1	0
8	92	-1	-1	-4
9	92	-1	-2	3
0	93	2	0	-3
1	93	-3	-5	3
2	93	1	-7	-5
3	93	-2	2	-3
4	93	-8	-7	8
5	93	-6	-2	1
6	93	3	2	10
7	93	7	-2	0
8	93	-1	-1	-3
9	93	-2	-2	3
0	94	2	0	-2
1	94	-3	-4	3
2	94	0	-7	-5
3	94	-2	2	-4
4	94	-8	-8	8
5	94	-6	-1	1
6	94	4	2	10
7	94	7	-2	1
8	94	-1	-2	-3
9	94	-3	-2	3
0	95	3	0	-2
1	95	-3	-4	2
2	95	0	-7	-4
3	95	-2	1	-4
4	95	-7	-8	8
5	95	-6	-1	0
6	95	4	3	10
7	95	7	-3	1
8	95	0	-2	-3
9	95	-3	-2	4
0	96	4	0	-2
1	96	-2	-4	2
2	96	0	-7	-5
3	96	-2	1	-5
4	96	-7	-7	8
5	96	-6	0	0
6	96	3	3	10
7	96	6	-3	1
8	96	0	-2	-2
9	96	-3	-2	5
0	97	4	0	-3
1	97	-1	-4	2
2	97	1	-7	-5
3	97	-3	1	-5
4	97	-7	-8	8
5	97	-6	1	0
6	97	3	3	11
7	97	6	-3	0
8	97	0	-2	-3
9	97	-2	-2	5
0	98	4	0	-2
1	98	-2	-4	2
2	98	0	-7	-5
3	98	-2	1	-5
4	98	-7	-9	8
5	98	-6	2	0
