walk_id	step	x	y	z
3	27	3.27234	0.0551958	0.28396
4	27	4.49553	0.578654	-0.610672
5	27	3.19658	1.06097	-2.23652
6	27	0.0454268	-2.68667	-8.25656
7	27	-1.94272	0.846326	-8.69957
8	27	-6.74185	1.57959	3.09799
9	27	-1.1146	-2.34603	3.80141
0	28	0.840781	-0.604846	3.75832
1	28	0.161748	2.06393	2.86503
2	28	-3.11105	0.788934	0.602516
3	28	3.369	-0.272741	1.2237
4	28	4.40076	-0.145463	-1.29381
5	28	2.72081	0.279555	-1.83276
6	28	0.0351593	-2.6938	-9.25649
7	28	-2.85069	0.671375	-9.08034
8	28	-7.43664	1.73965	3.79917
9	28	-1.40688	-2.12696	2.87051
0	29	1.07517	-0.69786	2.79064
1	29	0.108591	1.52139	3.70337
2	29	-4.08145	0.609901	0.764563
3	29	3.01888	0.42943	0.603725
4	29	4.45273	-0.0977553	-2.29131
5	29	3.30937	-0.0797073	-1.10852
6	29	-0.22951	-3.6579	-9.27804
7	29	-3.50834	0.663363	-9.83361
8	29	-7.46933	1.8483	4.79271
9	29	-0.725483	-1.6879	3.4561
0	30	1.62517	-0.635591	1.9578
1	30	-0.857173	1.73084	3.55031
2	30	-3.4128	0.209198	1.39093
3	30	2.97787	0.477667	1.60172
4	30	4.70909	-0.742796	-3.01118
5	30	3.25743	0.918579	-1.08158
6	30	-0.406762	-4.28776	-8.52183
7	30	-3.44223	0.759876	-10.8267
8	30	-8.11887	1.36078	4.20925
9	30	0.204129	-1.38236	3.66217
0	31	2.01044	-0.501031	2.87074
1	31	-0.786511	2.38447	4.30383
2	31	-4.13613	0.654073	1.91902
3	31	2.16709	-0.0485425	1.85812
4	31	4.84059	-1.73339	-3.04892
5	31	4.15638	0.628895	-1.41016
6	31	0.146487	-3.70034	-9.11246
7	31	-3.65965	1.31772	-11.6277
8	31	-8.45605	1.38513	3.26812
9	31	0.18056	-1.42393	2.66332
0	32	2.60854	0.00511128	2.24938
1	32	-1.50052	3.02825	4.57903
2	32	-4.32559	0.376528	2.86086
3	32	2.67682	-0.303767	1.03651
4	32	5.16408	-0.787282	-3.06386
5	32	3.57327	0.743886	-0.605947
6	32	0.128049	-4.00754	-10.0639
7	32	-2.70958	1.38893	-11.9315
8	32	-8.62284	2.16932	3.8658
9	32	0.162589	-1.43037	1.6635
0	33	2.5718	0.0321495	1.25042
1	33	-1.07785	2.69196	5.42061
2	33	-5.02892	0.980685	3.23547
3	33	3.39064	-0.96519	0.806341
4	33	4.69638	-0.320013	-3.81413
5	33	3.64531	0.666279	-1.60032
6	33	-0.190471	-3.63744	-9.19125
7	33	-2.14679	0.682946	-11.5016
8	33	-9.2076	2.96231	3.69485
9	33	0.559511	-2.01333	0.954542
0	34	2.56532	0.787921	1.90522
1	34	-0.920662	2.00813	6.13312
2	34	-5.30477	1.56164	4.00123
3	34	3.7469	-1.42359	1.62056
4	34	4.30058	0.00849497	-2.95656
5	34	4.04092	0.462629	-0.704768
6	34	-0.550875	-3.54232	-8.26332
