T_SIGN	BLOCK	ACTUAL_PE	PE_AVE	ERROR
1	492	-5.95943	-5.959	0.00241822
1	493	-5.96125	-5.959	0.00241332
1	494	-5.96274	-5.95901	0.00240845
1	495	-5.96362	-5.95902	0.0024036
1	496	-5.96493	-5.95903	0.00239879
1	497	-5.96607	-5.95904	0.002394
1	498	-5.96721	-5.95906	0.00238925
1	499	-5.96849	-5.95908	0.00238454
1	500	-5.97021	-5.9591	0.00237987
1	501	-5.97163	-5.95913	0.00237525
1	502	-5.97289	-5.95915	0.00237068
1	503	-5.97414	-5.95918	0.00236615
1	504	-5.97555	-5.95922	0.00236168
1	505	-5.97665	-5.95925	0.00235726
1	506	-5.97791	-5.95929	0.00235289
1	507	-5.97901	-5.95933	0.00234857
1	508	-5.98043	-5.95937	0.00234431
1	509	-5.98169	-5.95941	0.00234012
1	510	-5.98296	-5.95946	0.00233598
1	511	-5.98424	-5.95951	0.00233192
1	512	-5.98553	-5.95956	0.00232792
1	513	-5.98667	-5.95961	0.00232398
1	514	-5.98797	-5.95966	0.00232011
1	515	-5.98867	-5.95972	0.00231629
1	516	-5.99014	-5.95978	0.00231255
1	517	-5.99146	-5.95984	0.00230889
1	518	-5.99278	-5.9599	0.00230531
1	519	-5.99425	-5.95997	0.00230182
1	520	-5.99513	-5.96004	0.00229838
1	521	-5.99615	-5.96011	0.00229501
1	522	-5.99762	-5.96018	0.00229174
1	523	-5.99893	-5.96025	0.00228856
1	524	-6.00024	-5.96033	0.00228546
1	525	-6.00123	-5.96041	0.00228244
1	526	-6.00281	-5.96049	0.00227952
1	527	-6.00392	-5.96057	0.00227668
1	528	-6.00486	-5.96065	0.00227392
1	529	-6.00638	-5.96074	0.00227126
1	530	-6.00743	-5.96083	0.00226868
1	531	-6.00891	-5.96092	0.00226622
1	532	-6.0102	-5.96101	0.00226385
1	533	-6.01116	-5.96111	0.00226156
1	534	-6.01223	-5.9612	0.00225935
1	535	-6.01282	-5.9613	0.00225718
1	536	-6.01367	-5.9614	0.00225509
1	537	-6.01433	-5.9615	0.00225304
