BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
68	1.76983	0.825177
69	1.79547	0.876901
70	1.82112	0.904186
71	1.84677	0.982256
72	1.87242	1.00324
73	1.89807	1.03419
74	1.92372	1.10219
75	1.94937	1.12332
76	1.97502	1.15821
77	2.00067	1.16253
78	2.02632	1.19955
79	2.05197	1.19869
80	2.07762	1.20006
81	2.10327	1.202
82	2.12892	1.17295
83	2.15457	1.21019
84	2.18022	1.17945
85	2.20587	1.1177
86	2.23152	1.11151
87	2.25717	1.07419
88	2.28282	1.00845
89	2.30847	0.989422
90	2.33412	0.988695
91	2.35977	0.946616
92	2.38542	0.958804
93	2.41107	0.937918
94	2.43672	0.92
95	2.46237	0.948865
96	2.48802	0.905776
97	2.51366	0.910429
98	2.53931	0.89409
99	2.56496	0.917926

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000366821
35	0.923387	0.0234718
36	0.949037	0.153498
37	0.974686	0.558632
38	1.00034	1.19957
39	1.02599	1.91458
40	1.05164	2.35551
41	1.07728	2.5472
42	1.10293	2.49175
43	1.12858	2.40706
44	1.15423	2.20477
45	1.17988	1.99925
46	1.20553	1.79389
47	1.23118	1.58413
48	1.25683	1.36324
49	1.28248	1.19465
50	1.30813	1.08208
51	1.33378	0.98715
52	1.35943	0.900756
53	1.38508	0.865759
54	1.41073	0.784484
55	1.43638	0.770556
56	1.46203	0.748634
57	1.48768	0.69778
58	1.51333	0.723695
59	1.53898	0.693269
60	1.56463	0.705716
61	1.59028	0.681525
62	1.61593	0.695129
63	1.64158	0.70366
64	1.66723	0.701899
65	1.69288	0.727739
66	1.71853	0.753311
67	1.74418	0.816446
68	1.76983	0.865365
69	1.79547	0.862574
70	1.82112	0.906339
71	1.84677	0.952609
72	1.87242	0.978284
73	1.89807	1.047
74	1.92372	1.05232
75	1.94937	1.08029
76	1.97502	1.10415
77	2.00067	1.14225
78	2.02632	1.17687
79	2.05197	1.18634
80	2.07762	1.1841
81	2.10327	1.22908
82	2.12892	1.16757
83	2.15457	1.1747
84	2.18022	1.19174
85	2.20587	1.14162
86	2.23152	1.13706
87	2.25717	1.08111
88	2.28282	1.06757
89	2.30847	1.02844
90	2.33412	1.03019
91	2.35977	0.994081
92	2.38542	0.953918
93	2.41107	0.927554
94	2.43672	0.896721
95	2.46237	0.888435
96	2.48802	0.902183
97	2.51366	0.915407
98	2.53931	0.906871
99	2.56496	0.909546

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
