BLOCK	CHI
813	0.2757735494601289
814	0.2756182610434846
815	0.2754658698783624
816	0.2753167569014797
817	0.2751745473121314
818	0.2750396511261736
819	0.2749074728703825
820	0.2747755446951844
821	0.2746460010093621
822	0.2745217516653979
823	0.274398732369002
824	0.2742761560448193
825	0.27415367277388064
826	0.2740319484684628
827	0.27391011947814553
828	0.2737875964657172
829	0.2736628847634472
830	0.2735349695093938
831	0.27340154860507426
832	0.2732594611481086
833	0.2731081788674767
834	0.27294926719014667
835	0.27278415390183025
836	0.2726102044325585
837	0.27242319455277864
838	0.2722210383189391
839	0.2720070778933846
840	0.27178810616292226
841	0.27156514768254014
842	0.27133973298423997
843	0.27111101586508474
844	0.27087716046211596
845	0.2706374969858382
846	0.27039261089624467
847	0.2701446530802966
848	0.26989349849769756
849	0.26964058171929145
850	0.2693879596094912
851	0.269137525220228
852	0.2688875502813567
853	0.26863590038409463
854	0.26838476131036954
855	0.26813635567568506
856	0.26789379979440836
857	0.26765870368152045
858	0.26742912969707733
859	0.26720467267174597
860	0.26698202146092975
861	0.26676377089310793
862	0.26654907185742965
863	0.2663358267786879
864	0.2661220660298859
865	0.26590543129287286
866	0.26568949445518936
867	0.26547436407895325
868	0.26525971253920155
869	0.26504282384437694
870	0.2648213842643411
871	0.26459594921064383
872	0.2643697707002997
873	0.26414542514500017
874	0.26392398653426896
875	0.2637092128621346
876	0.2635003945976121
877	0.2632981772975812
878	0.263103941251827
879	0.26291730358502285
880	0.2627395360248359
881	0.2625687842915198
882	0.26240507358699483
883	0.26224928597846897
884	0.26210492647146394
885	0.2619725020122982
886	0.2618538513718441
887	0.26174873513185937
888	0.2616556091900776
889	0.26157450359494194
890	0.2615047475876526
891	0.26144683066704466
892	0.26139738353024405
893	0.26135373768162007
894	0.26131472995562344
895	0.26128149346936
896	0.26125567507138653
897	0.2612351335677879
898	0.26121572808920895
899	0.26119585443649646
900	0.26117825186451876
901	0.2611621972720261
902	0.2611475753117682
903	0.261132631542375
904	0.2611195788863039
905	0.2611089514304028
906	0.2610975427149745
907	0.26108468973565596
908	0.261065880379421
909	0.26104317441859626
910	0.26101912694017143
911	0.2609934025647465
912	0.2609637447511561
913	0.2609281373457816
914	0.26088948826249597
915	0.26084951220117963
916	0.2608128026964473
917	0.2607814311522811
918	0.2607580786652719
919	0.2607427937006509
920	0.26073346802086034
921	0.260730721011555
922	0.2607337219786719
923	0.2607472457167904
924	0.2607744414966351
925	0.2608140143272277
926	0.2608663926412122
927	0.26092944784563366
928	0.2610029783251302
929	0.26108808327114574
930	0.2611837788394866
931	0.2612878637393511
932	0.26140021196113783
933	0.26152287261482277
934	0.26165545603994694
935	0.2617959325126269
936	0.261941594765047
937	0.2620926899698865
938	0.26224973961303316
939	0.26241031946362164
940	0.2625704253242488
941	0.2627295880514765
942	0.26289084641530197
943	0.2630560188312005
944	0.26322728623457675
945	0.2634017145403329
946	0.2635787725695348
947	0.26375936080617857
948	0.26394063627980097
949	0.2641224768580193
950	0.2643055077423163
951	0.264487958982448
952	0.2646716577176312
953	0.2648581024928151
954	0.2650473534048864
955	0.26524163210004403
956	0.26543938381367066
957	0.26563934554184077
958	0.265842965425663
959	0.26604865962138136
960	0.2662582601147357
961	0.2664713937234457
962	0.26669037999347733
963	0.2669143271645763
964	0.26714155543182855
965	0.26737036657353236
966	0.267601523432427
967	0.2678368066211074
968	0.26807445975959426
969	0.2683130734789639
970	0.26855428978124973
971	0.2687997690852734
972	0.2690497285152707
973	0.2693028343080785
974	0.2695570111824962
975	0.26981176285455616
976	0.27006704376694096
977	0.2703222151479032
978	0.27057734581807125
979	0.2708316564565271
980	0.2710857092599529
981	0.27133812006134506
982	0.27158331342050457
983	0.2718205953153203
984	0.27204982228870794
985	0.2722718890088357
986	0.2724852106626428
987	0.27268860566779224
988	0.2728806268524799
989	0.27306305967582367
990	0.27324126923891934
991	0.27341854439235713
992	0.2735974877190534
993	0.2737759677181392
994	0.27395408132007704
995	0.2741304336955125
996	0.27430415343958825
997	0.27447399208794826
998	0.27464070666750406
999	0.27480648974531585
1000	0.2749683199988697
1001	0.2751246038913632
1002	0.27527348423513603
1003	0.27541538073909066
1004	0.2755509040651404
1005	0.27568175437359627
1006	0.27580822730236865
1007	0.2759311632385669
1008	0.27605157607482805
1009	0.27617179214225046
1010	0.2762955985140013
1011	0.2764217292782414
1012	0.2765480655350617
1013	0.27667639080497125
1014	0.2768075920017011
1015	0.2769424552313016
1016	0.27708178017008794
1017	0.27722329961454373
1018	0.2773669408668221
1019	0.277512768870333
1020	0.2776615338668556
1021	0.27781177996084416
1022	0.27796066127392166
1023	0.27810932740137256
1024	0.27826200741927276
1025	0.2784207446217704
1026	0.27858511833065847
1027	0.27875382676982646
1028	0.2789259452226629
1029	0.2791015153692665
1030	0.2792791307486274
1031	0.2794603984678128
1032	0.27964511206493764
1033	0.2798306747729134
1034	0.2800177670435864
1035	0.28020729614608486
1036	0.2803980475417146
1037	0.28058573011890375
1038	0.28076847505833663
1039	0.2809456232328686
1040	0.2811171232693547
1041	0.2812854876053811
