BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
35	0.923387	0.0236883
36	0.949037	0.158168
37	0.974686	0.536083
38	1.00034	1.18167
39	1.02599	1.8577
40	1.05164	2.29532
41	1.07728	2.55164
42	1.10293	2.57657
43	1.12858	2.41026
44	1.15423	2.19735
45	1.17988	1.99659
46	1.20553	1.77577
47	1.23118	1.57779
48	1.25683	1.40767
49	1.28248	1.25223
50	1.30813	1.11647
51	1.33378	1.03172
52	1.35943	0.943706
53	1.38508	0.880956
54	1.41073	0.817339
55	1.43638	0.780178
56	1.46203	0.734768
57	1.48768	0.708427
58	1.51333	0.696583
59	1.53898	0.673351
60	1.56463	0.667201
61	1.59028	0.670832
62	1.61593	0.67051
63	1.64158	0.689786
64	1.66723	0.702935
65	1.69288	0.725004
66	1.71853	0.742438
67	1.74418	0.76677
68	1.76983	0.802228
69	1.79547	0.833003
70	1.82112	0.882674
71	1.84677	0.925363
72	1.87242	0.967537
73	1.89807	1.01048
74	1.92372	1.05103
75	1.94937	1.08681
76	1.97502	1.12893
77	2.00067	1.15624
78	2.02632	1.18045
79	2.05197	1.20285
80	2.07762	1.21783
81	2.10327	1.22115
82	2.12892	1.21913
83	2.15457	1.20731
84	2.18022	1.18883
85	2.20587	1.15721
86	2.23152	1.1365
87	2.25717	1.10502
88	2.28282	1.07415
89	2.30847	1.05226
90	2.33412	1.022
91	2.35977	0.994355
92	2.38542	0.976136
93	2.41107	0.953613
94	2.43672	0.933746
95	2.46237	0.921313
96	2.48802	0.914749
97	2.51366	0.897327
98	2.53931	0.878035
99	2.56496	0.891982

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.00137558
35	0.923387	0.024208
36	0.949037	0.16038
37	0.974686	0.559913
38	1.00034	1.19242
39	1.02599	1.84647
40	1.05164	2.31382
41	1.07728	2.54381
42	1.10293	2.51556
43	1.12858	2.41182
44	1.15423	2.22263
45	1.17988	1.9861
46	1.20553	1.76459
47	1.23118	1.57489
48	1.25683	1.40642
49	1.28248	1.24951
50	1.30813	1.11474
51	1.33378	1.04255
52	1.35943	0.94933
53	1.38508	0.878783
54	1.41073	0.813241
55	1.43638	0.784767
56	1.46203	0.741111
57	1.48768	0.715063
58	1.51333	0.694781
59	1.53898	0.680966
60	1.56463	0.669989
61	1.59028	0.672405
62	1.61593	0.679061
63	1.64158	0.674964
64	1.66723	0.693647
65	1.69288	0.714776
66	1.71853	0.737328
67	1.74418	0.767764
68	1.76983	0.801111
69	1.79547	0.847613
70	1.82112	0.881664
71	1.84677	0.935346
72	1.87242	0.960528
