BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
48	1.25683	1.39693	0.00414202
49	1.28248	1.24898	0.00212129
50	1.30813	1.12787	0.00303698
51	1.33378	1.02447	0.00291264
52	1.35943	0.945932	0.00352313
53	1.38508	0.874416	0.00333074
54	1.41073	0.81648	0.00285463
55	1.43638	0.778413	0.00261811
56	1.46203	0.738776	0.00379461
57	1.48768	0.708451	0.00190871
58	1.51333	0.688837	0.00300152
59	1.53898	0.675665	0.00358679
60	1.56463	0.669399	0.00270184
61	1.59028	0.670634	0.00284976
62	1.61593	0.672987	0.00207226
63	1.64158	0.685172	0.0016352
64	1.66723	0.697609	0.00200786
65	1.69288	0.720142	0.00234561
66	1.71853	0.748193	0.00261303
67	1.74418	0.778846	0.00218052
68	1.76983	0.813479	0.00191643
69	1.79547	0.849667	0.00300121
70	1.82112	0.892568	0.00188481
71	1.84677	0.936128	0.00352287
72	1.87242	0.975745	0.00356214
73	1.89807	1.01783	0.00425719
74	1.92372	1.05741	0.00285295
75	1.94937	1.09298	0.00425333
76	1.97502	1.12946	0.00424691
77	2.00067	1.15803	0.0029566
78	2.02632	1.18184	0.00271725
79	2.05197	1.20339	0.00222041
80	2.07762	1.21475	0.00164631
81	2.10327	1.21647	0.00160605
82	2.12892	1.21051	0.00252409
83	2.15457	1.19672	0.00189201
84	2.18022	1.18011	0.00222591
85	2.20587	1.15341	0.00119929
86	2.23152	1.1288	0.001806
87	2.25717	1.10175	0.00330884
88	2.28282	1.06886	0.00181545
89	2.30847	1.04214	0.00349625
90	2.33412	1.01495	0.00353632
91	2.35977	0.992139	0.0042598
92	2.38542	0.971114	0.0032187
93	2.41107	0.948283	0.00299073
94	2.43672	0.932299	0.00265473
95	2.46237	0.917568	0.00266257
96	2.48802	0.907306	0.00232366
97	2.51366	0.893726	0.00123759
98	2.53931	0.884767	0.00171234
99	2.56496	0.884603	0.00147483

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	6.07884e-06	5.68623e-06
34	0.897737	0.00111193	0.00012655
35	0.923387	0.0246302	0.000538597
36	0.949037	0.162557	0.00232561
37	0.974686	0.558064	0.00449786
38	1.00034	1.19347	0.00540021
39	1.02599	1.86097	0.00611222
40	1.05164	2.3287	0.00685708
41	1.07728	2.55349	0.00683065
42	1.10293	2.54205	0.00626031
43	1.12858	2.40738	0.00523977
44	1.15423	2.20326	0.00609328
45	1.17988	1.97598	0.0051859
46	1.20553	1.76115	0.00534384
47	1.23118	1.56656	0.00520057
48	1.25683	1.39811	0.00379032
49	1.28248	1.24905	0.00185716
50	1.30813	1.12623	0.00306921
51	1.33378	1.02673	0.00331119
52	1.35943	0.946357	0.00310823
53	1.38508	0.874962	0.00295878
54	1.41073	0.816075	0.00252636
55	1.43638	0.779207	0.00240829
56	1.46203	0.739068	0.00333149
57	1.48768	0.709277	0.00184041
58	1.51333	0.68958	0.00271674
59	1.53898	0.676328	0.00319906
60	1.56463	0.669473	0.00236512
61	1.59028	0.670855	0.00250212
62	1.61593	0.673746	0.00194735
63	1.64158	0.683896	0.00186327
64	1.66723	0.697114	0.00181693
65	1.69288	0.719471	0.00214619
66	1.71853	0.746835	0.0026156
67	1.74418	0.777461	0.00230638
68	1.76983	0.811933	0.00221432
69	1.79547	0.84941	0.00263701
70	1.82112	0.891205	0.00208459
71	1.84677	0.93603	0.00308387
72	1.87242	0.973843	0.00358895
73	1.89807	1.01768	0.00372763
74	1.92372	1.05779	0.00252216
75	1.94937	1.09495	0.00415497
76	1.97502	1.13023	0.00378549
77	2.00067	1.15926	0.00283177
78	2.02632	1.18252	0.00246158
79	2.05197	1.20417	0.00207528
80	2.07762	1.21626	0.00202202
81	2.10327	1.21742	0.00166509
82	2.12892	1.21144	0.00237381
83	2.15457	1.19628	0.00170623
84	2.18022	1.17876	0.00232392
85	2.20587	1.15307	0.00109698
86	2.23152	1.12803	0.00173477
87	2.25717	1.09994	0.0033553
88	2.28282	1.06823	0.00169631
89	2.30847	1.04184	0.0030726
90	2.33412	1.01494	0.00309428
91	2.35977	0.991918	0.00373305
92	2.38542	0.971289	0.0028211
93	2.41107	0.948368	0.00261809
94	2.43672	0.93273	0.00235756
95	2.46237	0.917689	0.0023325
96	2.48802	0.907612	0.00205327
97	2.51366	0.893904	0.00109574
98	2.53931	0.884972	0.0015105
99	2.56496	0.885273	0.00143466

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	5.40341e-06	5.09439e-06
34	0.897737	0.00118198	0.000130445
35	0.923387	0.0245833	0.000480792
36	0.949037	0.163303	0.00218355
37	0.974686	0.55968	0.00427838
38	1.00034	1.19581	0.00528234
39	1.02599	1.86467	0.00645735
40	1.05164	2.33035	0.00629009
41	1.07728	2.55152	0.00634943
42	1.10293	2.54262	0.00559045
43	1.12858	2.40231	0.00666929
44	1.15423	2.20133	0.00571294
45	1.17988	1.97272	0.00553936
46	1.20553	1.76031	0.00481537
47	1.23118	1.56455	0.00499479
48	1.25683	1.39774	0.00338759
49	1.28248	1.24672	0.00274754
50	1.30813	1.12517	0.00290487
51	1.33378	1.02667	0.00294378
52	1.35943	0.946443	0.00276406
53	1.38508	0.874812	0.00263381
54	1.41073	0.816195	0.0022485
55	1.43638	0.778297	0.00230625
56	1.46203	0.739812	0.00304321
57	1.48768	0.710969	0.00228497
58	1.51333	0.690622	0.00260712
59	1.53898	0.678167	0.00333075
60	1.56463	0.671217	0.00266896
61	1.59028	0.671087	0.00223479
62	1.61593	0.674916	0.00205237
63	1.64158	0.685405	0.00218318
64	1.66723	0.698759	0.00223937
