Step	Energy
745	-5.34884
746	-5.45919
747	-5.42908
748	-5.33681
749	-5.45715
750	-5.39338
751	-5.41259
752	-5.39975
753	-5.40244
754	-5.38632
755	-5.32465
756	-5.36843
757	-5.27828
758	-5.23078
759	-5.27594
760	-5.30684
761	-5.25038
762	-5.27267
763	-5.30566
764	-5.23821
765	-5.26034
766	-5.304
767	-5.25005
768	-5.40491
769	-5.35981
770	-5.35565
771	-5.34102
772	-5.37532
773	-5.28438
774	-5.32758
775	-5.28086
776	-5.30276
777	-5.29993
778	-5.21203
779	-5.29918
780	-5.37726
781	-5.35298
782	-5.42947
783	-5.52593
784	-5.55569
785	-5.51323
786	-5.40688
787	-5.31846
788	-5.33754
789	-5.42035
790	-5.41331
791	-5.32258
792	-5.29304
793	-5.338
794	-5.33809
795	-5.36259
796	-5.25372
797	-5.35827
798	-5.42498
799	-5.41244
800	-5.33617
801	-5.30982
802	-5.29145
803	-5.35285
804	-5.3176
805	-5.41008
806	-5.43465
807	-5.39761
808	-5.28463
809	-5.36333
810	-5.49804
811	-5.4995
812	-5.33757
813	-5.32312
814	-5.39588
815	-5.34615
816	-5.43805
817	-5.5582
818	-5.54516
819	-5.51449
820	-5.41865
821	-5.47285
822	-5.44681
823	-5.42888
824	-5.38406
825	-5.22493
826	-5.28916
827	-5.25812
828	-5.31217
829	-5.36169
830	-5.42044
831	-5.48012
832	-5.47434
833	-5.4085
834	-5.43633
835	-5.44275
836	-5.37728
837	-5.41378
838	-5.44306
839	-5.49391
840	-5.47916
841	-5.47364
842	-5.48162
843	-5.45921
844	-5.4067
845	-5.51089
846	-5.44947
847	-5.41467
848	-5.30798
849	-5.31268
850	-5.29517
851	-5.33186
852	-5.42777
853	-5.3599
854	-5.32153
855	-5.27691
856	-5.246
857	-5.4249
858	-5.42667
859	-5.49508
860	-5.44251
861	-5.54729
862	-5.48452
863	-5.48123
864	-5.42451
865	-5.37426
866	-5.37628
867	-5.41037
868	-5.45012
869	-5.50264
870	-5.45325
871	-5.40138
872	-5.45238
873	-5.48744
874	-5.51773
875	-5.52948
876	-5.55529
877	-5.61296
878	-5.5718
879	-5.56989
880	-5.57886
881	-5.55959
882	-5.54457
883	-5.44766
884	-5.35027
885	-5.3606
886	-5.37846
887	-5.5131
888	-5.55901
889	-5.48676
890	-5.4266
891	-5.44127
892	-5.41409
893	-5.34867
894	-5.45569
895	-5.43442
896	-5.52876
897	-5.50299
898	-5.457
899	-5.46566
900	-5.50053
901	-5.4426
902	-5.51843
903	-5.47849
904	-5.3485
905	-5.38422
906	-5.30424
907	-5.31482
908	-5.44275
909	-5.50368
910	-5.46983
911	-5.47497
912	-5.47998
913	-5.41933
914	-5.33275
915	-5.40934
916	-5.43301
917	-5.41143
918	-5.42527
919	-5.36425
920	-5.41068
921	-5.35655
922	-5.35407
923	-5.31605
924	-5.27944
925	-5.21839
926	-5.36674
927	-5.3915
928	-5.41551
929	-5.34264
930	-5.29192
931	-5.28679
932	-5.26067
933	-5.29843
