BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.00076421	0.000256134
35	0.923387	0.0211694	0.0011995
36	0.949037	0.154311	0.00219489
37	0.974686	0.572216	0.00627647
38	1.00034	1.20332	0.00996679
39	1.02599	1.85555	0.0076026
40	1.05164	2.34	0.0177899
41	1.07728	2.5782	0.0149424
42	1.10293	2.58121	0.00950276
43	1.12858	2.40793	0.0158852
44	1.15423	2.18398	0.0126065
45	1.17988	1.97354	0.0152932
46	1.20553	1.73539	0.00702502
47	1.23118	1.52941	0.00827713
48	1.25683	1.36901	0.00946967
49	1.28248	1.24453	0.00893339
50	1.30813	1.12504	0.0080975
51	1.33378	1.02484	0.0126232
52	1.35943	0.923924	0.0103304
53	1.38508	0.860442	0.00571712
54	1.41073	0.814068	0.00716473
55	1.43638	0.785124	0.00609845
56	1.46203	0.74652	0.00727921
57	1.48768	0.717099	0.00808463
58	1.51333	0.686879	0.0107087
59	1.53898	0.67112	0.00955105
60	1.56463	0.683914	0.0119042
61	1.59028	0.685144	0.00946123
62	1.61593	0.676886	0.0130588
63	1.64158	0.689736	0.00552006
64	1.66723	0.719358	0.00415606
65	1.69288	0.724071	0.00731018
66	1.71853	0.744828	0.00284455
67	1.74418	0.769082	0.00569566
68	1.76983	0.815406	0.00905925
69	1.79547	0.858883	0.00683853
70	1.82112	0.895125	0.00597207
71	1.84677	0.942189	0.0116054
72	1.87242	0.975894	0.0119426
73	1.89807	1.01271	0.0103789
74	1.92372	1.06372	0.0100307
75	1.94937	1.10077	0.00673167
76	1.97502	1.12905	0.0100787
77	2.00067	1.15226	0.00778391
78	2.02632	1.1918	0.00962702
79	2.05197	1.20955	0.00493353
80	2.07762	1.20396	0.00559752
81	2.10327	1.21681	0.00589377
82	2.12892	1.20852	0.00860313
83	2.15457	1.20001	0.0063015
84	2.18022	1.18551	0.00538813
85	2.20587	1.14663	0.00932903
86	2.23152	1.12255	0.0028816
87	2.25717	1.09076	0.00625794
88	2.28282	1.05037	0.00919531
89	2.30847	1.02747	0.0107062
90	2.33412	1.0007	0.0100696
91	2.35977	0.98363	0.00979243
92	2.38542	0.963453	0.00396129
93	2.41107	0.93692	0.00321321
94	2.43672	0.924435	0.00465172
95	2.46237	0.913996	0.00777538
96	2.48802	0.899317	0.00345056
97	2.51366	0.902146	0.00427512
98	2.53931	0.894962	0.00251647
99	2.56496	0.899056	0.00531211

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.00070744	0.000225747
35	0.923387	0.0214983	0.00107229
36	0.949037	0.154195	0.0018844
37	0.974686	0.570275	0.00567188
38	1.00034	1.20279	0.00855739
39	1.02599	1.86398	0.0101687
40	1.05164	2.34222	0.0153858
41	1.07728	2.57377	0.0134479
42	1.10293	2.56843	0.014365
43	1.12858	2.4078	0.0136164
44	1.15423	2.18695	0.0111498
45	1.17988	1.97721	0.0135424
46	1.20553	1.74374	0.00980471
47	1.23118	1.53722	0.0101352
48	1.25683	1.36818	0.00815265
49	1.28248	1.23741	0.0101078
50	1.30813	1.1189	0.00896973
51	1.33378	1.01946	0.0119131
52	1.35943	0.920614	0.00936982
53	1.38508	0.861202	0.00495059
54	1.41073	0.809842	0.00728175
55	1.43638	0.783043	0.00557104
56	1.46203	0.746822	0.00624559
57	1.48768	0.714339	0.00738577
58	1.51333	0.692138	0.0103905
59	1.53898	0.674284	0.00869493
60	1.56463	0.687028	0.0106032
61	1.59028	0.684627	0.00812374
62	1.61593	0.679492	0.0114504
63	1.64158	0.691725	0.00507722
64	1.66723	0.716864	0.00424529
65	1.69288	0.724595	0.00628462
66	1.71853	0.74604	0.00268394
67	1.74418	0.775848	0.00794211
68	1.76983	0.822543	0.0101958
69	1.79547	0.85941	0.00588189
70	1.82112	0.896727	0.00532944
71	1.84677	0.943678	0.0100425
72	1.87242	0.976236	0.0102414
73	1.89807	1.01761	0.00998506
74	1.92372	1.06209	0.00872914
75	1.94937	1.09785	0.00637419
76	1.97502	1.12549	0.00924501
77	2.00067	1.15083	0.00680188
78	2.02632	1.18966	0.00848471
79	2.05197	1.20623	0.00522511
80	2.07762	1.20112	0.0054693
81	2.10327	1.21856	0.00530603
82	2.12892	1.20267	0.00914929
83	2.15457	1.19639	0.00635473
84	2.18022	1.1864	0.00469115
85	2.20587	1.14591	0.00802372
86	2.23152	1.12462	0.00312787
87	2.25717	1.08938	0.00551366
88	2.28282	1.05283	0.00820332
89	2.30847	1.0276	0.00917767
90	2.33412	1.00491	0.00947146
91	2.35977	0.985123	0.00850656
92	2.38542	0.962091	0.00362204
93	2.41107	0.935582	0.00301992
94	2.43672	0.920476	0.00541608
95	2.46237	0.910344	0.00747306
96	2.48802	0.899726	0.00298182
97	2.51366	0.90404	0.00406248
98	2.53931	0.896664	0.00267085
99	2.56496	0.900554	0.00475993

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.00061901	0.000214149
35	0.923387	0.0221889	0.00113912
36	0.949037	0.156141	0.00245597
37	0.974686	0.572589	0.0054144
38	1.00034	1.19709	0.00918955
39	1.02599	1.84856	0.0169514
40	1.05164	2.3337	0.0156449
41	1.07728	2.56841	0.0127896
42	1.10293	2.5668	0.0126621
43	1.12858	2.40669	0.0119598
44	1.15423	2.19346	0.011502
45	1.17988	1.99137	0.0177724
46	1.20553	1.74913	0.00995007
47	1.23118	1.53825	0.00891972
48	1.25683	1.36799	0.00713589
49	1.28248	1.23802	0.00886275
50	1.30813	1.1213	0.00816278
51	1.33378	1.02146	0.0105907
52	1.35943	0.92709	0.0101935
53	1.38508	0.863921	0.00502354
54	1.41073	0.808369	0.00651868
55	1.43638	0.782917	0.00487607
56	1.46203	0.749993	0.00621822
57	1.48768	0.713998	0.0064704
58	1.51333	0.689189	0.00950094
59	1.53898	0.675653	0.00771509
60	1.56463	0.688499	0.00937933
61	1.59028	0.68659	0.0073415
62	1.61593	0.682355	0.0103708
63	1.64158	0.690566	0.00457304
64	1.66723	0.715095	0.00406652
65	1.69288	0.721203	0.00634862
66	1.71853	0.744126	0.00295326
