block	ave	block_ave	err
225	0.456413	0.502382	0.00191131
226	0.50094	0.502376	0.00190288
227	0.484145	0.502296	0.00189621
228	0.437574	0.502013	0.00190895
229	0.47811	0.501909	0.00190347
230	0.535552	0.502055	0.0019008
231	0.514897	0.50211	0.0018934
232	0.48391	0.502032	0.00188687
233	0.486079	0.501964	0.00188002
234	0.524606	0.50206	0.00187449
235	0.45747	0.501871	0.00187606
236	0.486752	0.501807	0.00186922
237	0.455246	0.501612	0.0018716
238	0.444831	0.501374	0.00187884
239	0.506941	0.501397	0.00187114
240	0.485842	0.501333	0.00186447
241	0.547974	0.501526	0.00186673
242	0.470492	0.501398	0.00186341
243	0.482028	0.501318	0.00185746
244	0.458702	0.501145	0.00185802
245	0.576243	0.50145	0.00187546
246	0.509853	0.501484	0.00186817
247	0.50986	0.501518	0.00186092
248	0.47335	0.501404	0.00185688
249	0.517595	0.501469	0.00185058
250	0.455244	0.501285	0.00185237
251	0.526687	0.501386	0.00184775
252	0.461807	0.501229	0.00184707
253	0.519211	0.5013	0.00184115
254	0.471105	0.501182	0.00183773
255	0.438919	0.500939	0.00184662
256	0.458777	0.500775	0.00184673
257	0.454503	0.500595	0.00184828
258	0.524387	0.500687	0.00184342
259	0.468861	0.500565	0.00184039
260	0.48986	0.500524	0.00183378
261	0.49658	0.500509	0.00182683
262	0.50168	0.500513	0.00181988
263	0.489513	0.500471	0.00181345
264	0.463686	0.500333	0.00181192
265	0.472986	0.50023	0.00180802
266	0.517442	0.500294	0.00180239
267	0.512829	0.500341	0.00179626
268	0.502337	0.500348	0.00178958
269	0.516067	0.500407	0.00178389
270	0.517708	0.50047	0.00177845
271	0.475789	0.50038	0.00177422
272	0.534439	0.500504	0.0017721
273	0.423344	0.500223	0.00178794
274	0.503657	0.500235	0.00178147
275	0.498674	0.50023	0.00177501
276	0.445289	0.500031	0.00177968
277	0.492278	0.500003	0.00177349
278	0.5494	0.500181	0.00177597
279	0.509906	0.500215	0.00176995
280	0.518404	0.50028	0.00176483
281	0.513792	0.500328	0.00175921
282	0.488375	0.500286	0.0017535
283	0.441847	0.50008	0.00175938
284	0.482858	0.500019	0.00175424
285	0.518926	0.500086	0.00174935
286	0.532725	0.500199	0.00174695
287	0.461908	0.500066	0.00174594
288	0.490786	0.500034	0.00174018
289	0.543004	0.500182	0.00174049
290	0.450019	0.50001	0.00174304
291	0.523361	0.50009	0.00173891
292	0.509427	0.500122	0.00173325
293	0.481681	0.500059	0.00172849
294	0.491711	0.500031	0.00172285
295	0.480227	0.499964	0.00171832
296	0.532084	0.500072	0.00171594
297	0.463261	0.499949	0.00171463
298	0.537701	0.500075	0.00171354
299	0.520602	0.500143	0.00170919
300	0.512379	0.500184	0.00170399
301	0.481637	0.500122	0.00169944
302	0.471369	0.500028	0.00169648
303	0.482814	0.499971	0.00169184
304	0.456168	0.499827	0.00169239
305	0.504247	0.499842	0.00168691
306	0.509467	0.499873	0.0016817
307	0.508772	0.499902	0.00167648
308	0.475501	0.499823	0.00167291
309	0.499413	0.499822	0.0016675
310	0.49124	0.499794	0.00166236
311	0.488889	0.499759	0.0016574
312	0.508992	0.499789	0.00165236
313	0.497446	0.499781	0.0016471
314	0.501151	0.499786	0.00164187
315	0.472954	0.499701	0.00163887
316	0.512994	0.499743	0.00163423
317	0.539873	0.499869	0.00163396
318	0.489576	0.499837	0.00162915
319	0.451322	0.499685	0.00163111
320	0.427919	0.499461	0.00164132
321	0.531186	0.49956	0.00163918
322	0.555867	0.499734	0.00164337
323	0.520804	0.499799	0.00163958
324	0.504122	0.499813	0.00163458
325	0.497471	0.499805	0.00162957
326	0.508133	0.499831	0.00162478
327	0.499632	0.49983	0.00161982
328	0.50168	0.499836	0.0016149
329	0.466294	0.499734	0.0016132
330	0.534123	0.499838	0.00161168
331	0.515863	0.499886	0.00160754
332	0.498478	0.499882	0.00160271
333	0.512227	0.499919	0.00159833
334	0.4876	0.499882	0.00159398
335	0.513617	0.499923	0.00158975
336	0.460952	0.499808	0.00158924
337	0.512381	0.499845	0.00158497
338	0.464553	0.499741	0.00158371
339	0.4915	0.499716	0.00157923
340	0.471878	0.499635	0.00157671
341	0.48632	0.499596	0.00157257
342	0.503648	0.499608	0.00156803
343	0.507609	0.499631	0.00156363
344	0.54957	0.499776	0.0015658
345	0.534747	0.499877	0.00156454
346	0.555281	0.500036	0.00156817
347	0.515477	0.500081	0.00156429
348	0.54288	0.500203	0.00156461
