INITIAL DISTRIBUTION	DELTA
BIN SIZE	0.188562
BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
5	1.13137	1.31993	10.7655	10.1018	1.13011
6	1.31993	1.50849	14.679	21.8347	7.21391
7	1.50849	1.69706	11.0035	13.7889	1.45119
8	1.69706	1.88562	8.507	10.5628	0.691344
9	1.88562	2.07418	10.7945	8.97894	0.948424
10	2.07418	2.26274	6.684	6.16883	0.752382
11	2.26274	2.4513	3.693	4.87744	0.827161
12	2.4513	2.63987	3.364	3.12517	0.48884
13	2.63987	2.82843	1.7645	1.93767	0.285953
14	2.82843	3.01699	2.401	1.2355	0.23133
15	3.01699	3.20555	0.6365	0.453056	0.0918788
16	3.20555	3.39411	0.202	0.188	0.0401861
17	3.39411	3.58267	0.651	0.161611	0.0758473
18	3.58267	3.77124	0.2675	0.0489444	0.0314123
19	3.77124	3.9598	0.0915	0.0131667	0.00964877
20	3.9598	4.14836	0	0	0
21	4.14836	4.33692	0	0	0
22	4.33692	4.52548	0	0	0
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	2.1685	1.4749	0.260224
1	0.377124	0.565685	4.786	2.8349	0.427481
2	0.565685	0.754247	7.6695	5.42235	0.839159
3	0.754247	0.942809	6.874	6.09115	0.832567
4	0.942809	1.13137	9.46	8.9965	0.975435
5	1.13137	1.31993	11.2765	10.2193	1.02318
6	1.31993	1.50849	11.0865	20.7599	6.5721
7	1.50849	1.69706	9.546	13.3646	1.36669
8	1.69706	1.88562	12.3365	10.7402	0.644561
9	1.88562	2.07418	13.697	9.45075	0.963816
10	2.07418	2.26274	8.2	6.37195	0.704027
11	2.26274	2.4513	3.6185	4.75155	0.753965
12	2.4513	2.63987	3.1055	3.1232	0.43996
13	2.63987	2.82843	1.7495	1.91885	0.257976
14	2.82843	3.01699	0.521	1.16405	0.218954
15	3.01699	3.20555	0.474	0.45515	0.0827148
16	3.20555	3.39411	0.863	0.2555	0.0735439
17	3.39411	3.58267	0.1155	0.157	0.0684026
18	3.58267	3.77124	0.104	0.05445	0.0287495
19	3.77124	3.9598	0.132	0.02505	0.0142303
20	3.9598	4.14836	0.05	0.005	0.00474342
21	4.14836	4.33692	0	0	0
22	4.33692	4.52548	0	0	0
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.2415	1.45368	0.237431
1	0.377124	0.565685	3.1075	2.85968	0.389336
2	0.565685	0.754247	5.718	5.44923	0.763302
3	0.754247	0.942809	8.772	6.33486	0.791746
4	0.942809	1.13137	12.2105	9.28868	0.92949
5	1.13137	1.31993	10.485	10.2434	0.930453
6	1.31993	1.50849	11.308	19.9006	6.03054
7	1.50849	1.69706	11.4605	13.1915	1.25336
8	1.69706	1.88562	13.1175	10.9563	0.621142
9	1.88562	2.07418	8.987	9.40859	0.877118
10	2.07418	2.26274	9.1385	6.62345	0.683473
11	2.26274	2.4513	5.5715	4.82609	0.689097
12	2.4513	2.63987	3.1175	3.12268	0.399964
13	2.63987	2.82843	1.3595	1.868	0.239482
14	2.82843	3.01699	0.977	1.14705	0.199708
15	3.01699	3.20555	0.167	0.428955	0.0792347
16	3.20555	3.39411	0.1165	0.242864	0.067935
17	3.39411	3.58267	0.1555	0.156864	0.0621843
18	3.58267	3.77124	0.204	0.0680455	0.0291739
19	3.77124	3.9598	0.478	0.0662273	0.0413374
20	3.9598	4.14836	0.1625	0.0193182	0.0143167
21	4.14836	4.33692	0	0	0
22	4.33692	4.52548	0	0	0
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	0.884	1.40621	0.222341
1	0.377124	0.565685	3.2635	2.89333	0.358343
2	0.565685	0.754247	6.8355	5.56475	0.708382
3	0.754247	0.942809	7.36	6.42029	0.730362
4	0.942809	1.13137	12.059	9.51954	0.880235
5	1.13137	1.31993	13.597	10.5229	0.8939
6	1.31993	1.50849	12.8845	19.3159	5.55627
7	1.50849	1.69706	9.843	12.9125	1.17957
8	1.69706	1.88562	9.45	10.8308	0.581925
9	1.88562	2.07418	7.7	9.26621	0.8155
10	2.07418	2.26274	8.5565	6.78454	0.645221
11	2.26274	2.4513	5.038	4.84375	0.631899
12	2.4513	2.63987	3.6535	3.16692	0.369071
13	2.63987	2.82843	2.1165	1.88871	0.220419
14	2.82843	3.01699	2.113	1.22754	0.198627
15	3.01699	3.20555	1.005	0.476958	0.0859518
16	3.20555	3.39411	0.4345	0.258833	0.0641233
17	3.39411	3.58267	0.1725	0.158167	0.0570159
18	3.58267	3.77124	0.057	0.067125	0.0267573
19	3.77124	3.9598	0.731	0.121625	0.0651845
20	3.9598	4.14836	0.149	0.030125	0.0167118
21	4.14836	4.33692	0.096	0.008	0.00765942
22	4.33692	4.52548	0	0	0
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	0.3295	1.32338	0.220124
1	0.377124	0.565685	2.536	2.86585	0.331831
2	0.565685	0.754247	4.9455	5.51712	0.655491
3	0.754247	0.942809	5.9565	6.38462	0.675051
