step	acc_rate
0	-nan
1028	0.016537
1029	0.0165209
1030	0.0165049
1031	0.0164888
1032	0.0164729
1033	0.0164569
1034	0.016441
1035	0.0164251
1036	0.0164093
1037	0.0163934
1038	0.0163776
1039	0.0163619
1040	0.0163462
1041	0.0163305
1042	0.0163148
1043	0.0162991
1044	0.0162835
1045	0.0162679
1046	0.0162524
1047	0.0162369
1048	0.0162214
1049	0.0162059
1050	0.0161905
1051	0.0161751
1052	0.0161597
1053	0.0161443
1054	0.016129
1055	0.0161137
1056	0.0160985
1057	0.0160833
1058	0.0160681
1059	0.0160529
1060	0.0160377
1061	0.0160226
1062	0.0160075
1063	0.0159925
1064	0.0159774
1065	0.0159624
1066	0.0159475
1067	0.0159325
1068	0.0159176
1069	0.0159027
1070	0.0158879
1071	0.015873
1072	0.0158582
1073	0.0158434
1074	0.0158287
1075	0.015814
1076	0.0157993
1077	0.0157846
1078	0.0157699
1079	0.0157553
1080	0.0157407
1081	0.0157262
1082	0.0157116
1083	0.0156971
1084	0.0156827
1085	0.0156682
1086	0.0156538
1087	0.0156394
1088	0.015625
1089	0.0156107
1090	0.0155963
1091	0.015582
1092	0.0155678
1093	0.0155535
1094	0.0155393
1095	0.0155251
1096	0.0155109
1097	0.0154968
1098	0.0154827
1099	0.0154686
1100	0.0154545
1101	0.0154405
1102	0.0154265
1103	0.0154125
1104	0.0153986
1105	0.0153846
1106	0.0153707
1107	0.0153568
1108	0.015343
1109	0.0153291
1110	0.0153153
1111	0.0153015
1112	0.0152878
1113	0.015274
1114	0.0152603
1115	0.0152466
1116	0.015233
1117	0.0152193
1118	0.0152057
1119	0.0151921
1120	0.0151786
1121	0.015165
1122	0.0151515
1123	0.015138
1124	0.0151246
1125	0.0151111
1126	0.0150977
1127	0.0150843
1128	0.0150709
1129	0.0150576
1130	0.0150442
1131	0.0150309
1132	0.0150177
1133	0.0150044
1134	0.0149912
1135	0.014978
1136	0.0149648
1137	0.0149516
1138	0.0149385
1139	0.0149254
1140	0.0149123
1141	0.0148992
1142	0.0148862
1143	0.0148731
1144	0.0148601
1145	0.0148472
1146	0.0148342
1147	0.0148213
1148	0.0148084
1149	0.0147955
1150	0.0147826
1151	0.0147698
1152	0.0147569
1153	0.0147441
1154	0.0147314
1155	0.0147186
1156	0.0147059
1157	0.0146932
1158	0.0146805
1159	0.0146678
1160	0.0146552
1161	0.0146425
1162	0.0146299
1163	0.0146174
1164	0.0146048
1165	0.0145923
1166	0.0145798
1167	0.0145673
1168	0.0145548
1169	0.0145423
1170	0.0145299
1171	0.0145175
1172	0.0145051
1173	0.0144928
1174	0.0144804
1175	0.0144681
1176	0.0144558
1177	0.0144435
1178	0.0144312
1179	0.014419
1180	0.0144068
1181	0.0143946
1182	0.0143824
1183	0.0143702
1184	0.0143581
1185	0.014346
1186	0.0143339
1187	0.0143218
1188	0.0143098
1189	0.0142977
1190	0.0142857
1191	0.0142737
1192	0.0142617
1193	0.0142498
1194	0.0142379
1195	0.0142259
1196	0.014214
1197	0.0142022
1198	0.0141903
1199	0.0141785
1200	0.0141667
1201	0.0141549
1202	0.0141431
1203	0.0141313
1204	0.0141196
1205	0.0141079
1206	0.0140962
1207	0.0140845
1208	0.0140728
1209	0.0140612
1210	0.0140496
1211	0.014038
1212	0.0140264
1213	0.0140148
1214	0.0140033
1215	0.0139918
1216	0.0139803
1217	0.0139688
1218	0.0139573
1219	0.0139459
1220	0.0139344
1221	0.013923
1222	0.0139116
1223	0.0139002
1224	0.0138889
1225	0.0138776
1226	0.0138662
1227	0.0138549
1228	0.0138436
1229	0.0138324
1230	0.0138211
1231	0.0138099
1232	0.0137987
1233	0.0137875
1234	0.0137763
1235	0.0137652
1236	0.013754
1237	0.0137429
1238	0.0137318
1239	0.0137207
1240	0.0137097
1241	0.0136986
1242	0.0136876
1243	0.0136766
1244	0.0136656
1245	0.0136546
1246	0.0136437
1247	0.0136327
1248	0.0136218
1249	0.0136109
1250	0.0136
1251	0.0135891
1252	0.0135783
1253	0.0135674
1254	0.0135566
1255	0.0135458
1256	0.013535
1257	0.0135243
1258	0.0135135
1259	0.0135028
1260	0.0134921
1261	0.0134814
1262	0.0134707
1263	0.01346
1264	0.0134494
1265	0.0134387
1266	0.0134281
1267	0.0134175
1268	0.0134069
1269	0.0133964
1270	0.0133858
1271	0.0133753
1272	0.0133648
1273	0.0133543
1274	0.0133438
1275	0.0133333
1276	0.0133229
1277	0.0133125
1278	0.013302
1279	0.0132916
1280	0.0132812
1281	0.0132709
1282	0.0132605
1283	0.0132502
1284	0.0132399
1285	0.0132296
1286	0.0132193
1287	0.013209
1288	0.0131988
1289	0.0131885
1290	0.0131783
1291	0.0131681
1292	0.0131579
1293	0.0131477
1294	0.0131376
1295	0.0131274
1296	0.0131173
1297	0.0131072
1298	0.0130971
1299	0.013087
1300	0.0130769
1301	0.0130669
1302	0.0130568
1303	0.0130468
1304	0.0130368
1305	0.0130268
1306	0.0130168
1307	0.0130069
1308	0.0129969
1309	0.012987
1310	0.0129771
1311	0.0129672
1312	0.0129573
1313	0.0129474
1314	0.0129376
1315	0.0129278
1316	0.0129179
1317	0.0129081
1318	0.0128983
1319	0.0128886
1320	0.0128788
1321	0.012869
1322	0.0128593
1323	0.0128496
1324	0.0128399
1325	0.0128302
1326	0.0128205
1327	0.0128109
1328	0.0128012
1329	0.0127916
1330	0.012782
1331	0.0127724
1332	0.0127628
1333	0.0127532
1334	0.0127436
1335	0.0127341
1336	0.0127246
1337	0.012715
1338	0.0127055
1339	0.012696
1340	0.0126866
1341	0.0126771
1342	0.0126677
1343	0.0126582
1344	0.0126488
1345	0.0126394
1346	0.01263
1347	0.0126206
1348	0.0126113
1349	0.0126019
1350	0.0125926
1351	0.0125833
1352	0.012574
1353	0.0125647
1354	0.0125554
1355	0.0125461
1356	0.0125369
1357	0.0125276
1358	0.0125184
1359	0.0125092
1360	0.0125
1361	0.0124908
1362	0.0124816
1363	0.0124725
1364	0.0124633
1365	0.0124542
1366	0.0124451
1367	0.012436
1368	0.0124269
1369	0.0124178
1370	0.0124088
1371	0.0123997
1372	0.0123907
1373	0.0123816
1374	0.0123726
1375	0.0123636
1376	0.0123547
1377	0.0123457
1378	0.0123367
1379	0.0123278
1380	0.0123188
1381	0.0123099
1382	0.012301
1383	0.0122921
1384	0.0122832
1385	0.0122744
1386	0.0122655
1387	0.0122567
1388	0.0122478
1389	0.012239
1390	0.0122302
1391	0.0122214
1392	0.0122126
1393	0.0122039
1394	0.0121951
1395	0.0121864
1396	0.0121777
1397	0.0121689
1398	0.0121602
1399	0.0121515
1400	0.0121429
1401	0.0121342
1402	0.0121255
1403	0.0121169
1404	0.0121083
1405	0.0120996
1406	0.012091
1407	0.0120824
1408	0.0120739
1409	0.0120653
1410	0.0120567
