x	y	z	r
0.538749	-3.37975	8.2811	8.96045
0.538749	-3.37975	8.2811	8.96045
-0.675618	-2.42145	6.63094	7.0915
-2.4313	-2.43884	7.30063	8.07207
-2.4313	-2.43884	7.30063	8.07207
-2.4313	-2.43884	7.30063	8.07207
-2.4313	-2.43884	7.30063	8.07207
-2.4313	-2.43884	7.30063	8.07207
-2.4313	-2.43884	7.30063	8.07207
0.184658	0.145123	9.51888	9.52178
0.184658	0.145123	9.51888	9.52178
2.68551	-2.27024	7.82419	8.57811
2.68551	-2.27024	7.82419	8.57811
0.237657	-2.06139	10.3093	10.5161
0.804231	-2.17187	12.8816	13.0881
0.804231	-2.17187	12.8816	13.0881
0.804231	-2.17187	12.8816	13.0881
-2.07575	-4.53084	11.932	12.9309
-0.0341734	-6.68077	9.76385	11.8307
-3.23188	-5.40803	7.32609	9.66247
-3.52718	-7.31314	4.87906	9.4725
-1.36601	-6.10632	5.45063	8.29834
-3.84368	-3.4595	4.35807	6.76275
-3.12351	-4.13555	3.64064	6.33351
-5.10883	-1.50578	5.14909	7.40814
-6.06377	-2.58604	5.014	8.28234
-3.69692	-5.59435	5.11493	8.43365
-3.69692	-5.59435	5.11493	8.43365
-3.69692	-5.59435	5.11493	8.43365
-4.48931	-3.14854	6.5287	8.52591
-4.48931	-3.14854	6.5287	8.52591
-1.76243	-3.91856	4.21956	6.02212
-1.76243	-3.91856	4.21956	6.02212
-0.10103	-4.19308	3.52883	5.48131
-0.10103	-4.19308	3.52883	5.48131
-0.10103	-4.19308	3.52883	5.48131
-0.10103	-4.19308	3.52883	5.48131
-0.10103	-4.19308	3.52883	5.48131
-0.627552	-1.53365	3.2948	3.68804
-0.627552	-1.53365	3.2948	3.68804
0.117786	0.0307401	2.57174	2.57462
0.117786	0.0307401	2.57174	2.57462
0.117786	0.0307401	2.57174	2.57462
0.117786	0.0307401	2.57174	2.57462
1.12662	0.761406	1.61695	2.11271
0.861029	1.92267	1.94871	2.86976
0.861029	1.92267	1.94871	2.86976
0.861029	1.92267	1.94871	2.86976
-1.62055	1.69596	4.91793	5.44871
-1.62055	1.69596	4.91793	5.44871
-0.927353	3.07139	4.05976	5.17447
0.234359	0.0910243	1.18206	1.2085
0.234359	0.0910243	1.18206	1.2085
0.234359	0.0910243	1.18206	1.2085
0.234359	0.0910243	1.18206	1.2085
1.76753	3.04653	1.15869	3.70784
0.277373	4.86919	4.13838	6.39626
0.277373	4.86919	4.13838	6.39626
0.277373	4.86919	4.13838	6.39626
0.978494	6.51246	3.75803	7.58237
0.978494	6.51246	3.75803	7.58237
0.978494	6.51246	3.75803	7.58237
0.978494	6.51246	3.75803	7.58237
-0.814602	5.83111	1.58489	6.09732
-0.814602	5.83111	1.58489	6.09732
-0.814602	5.83111	1.58489	6.09732
0.376427	3.58212	0.486208	3.63451
1.20849	0.62315	2.04197	2.45324
1.20849	0.62315	2.04197	2.45324
1.20849	0.62315	2.04197	2.45324
2.02876	0.11022	3.39849	3.95951
2.02876	0.11022	3.39849	3.95951
2.02876	0.11022	3.39849	3.95951
2.02876	0.11022	3.39849	3.95951
2.02876	0.11022	3.39849	3.95951
2.02876	0.11022	3.39849	3.95951
2.02876	0.11022	3.39849	3.95951
2.02876	0.11022	3.39849	3.95951
2.02876	0.11022	3.39849	3.95951
2.24052	-2.04506	4.71906	5.60997
1.54647	-0.905664	5.62532	5.90389
0.948614	0.752552	7.78629	7.87988
1.64277	1.2674	4.60062	5.04686
1.64277	1.2674	4.60062	5.04686
0.795904	4.11644	7.02294	8.17926
-1.88664	4.9834	3.89783	6.60202
-1.88664	4.9834	3.89783	6.60202
-1.88664	4.9834	3.89783	6.60202
-1.88664	4.9834	3.89783	6.60202
-3.43261	5.15872	5.38698	8.21064
-3.43261	5.15872	5.38698	8.21064
-5.26979	4.84064	3.21894	7.84628
-5.26979	4.84064	3.21894	7.84628
-5.26979	4.84064	3.21894	7.84628
-5.26979	4.84064	3.21894	7.84628
-5.26979	4.84064	3.21894	7.84628
-3.81908	2.56332	3.75224	5.93593
-1.09847	0.675818	4.15765	4.35309
0.373403	0.534428	1.13168	1.30604
0.373403	0.534428	1.13168	1.30604
-0.884013	2.43233	2.11601	3.34294
-0.884013	2.43233	2.11601	3.34294
0.162058	2.53579	3.64426	4.44264
0.162058	2.53579	3.64426	4.44264
0.162058	2.53579	3.64426	4.44264
0.162058	2.53579	3.64426	4.44264
0.162058	2.53579	3.64426	4.44264
2.7711	0.860731	2.31695	3.71324
3.11358	2.20226	4.49707	5.89643
2.62016	0.786538	1.91426	3.3389
2.1194	0.848594	2.67316	3.51536
3.46302	1.23455	2.58204	4.49261
3.46302	1.23455	2.58204	4.49261
3.46302	1.23455	2.58204	4.49261
3.46302	1.23455	2.58204	4.49261
3.46302	1.23455	2.58204	4.49261
3.94917	-0.805159	2.99434	5.02098
3.94917	-0.805159	2.99434	5.02098
3.59794	2.0885	4.93946	6.45796
1.64818	-0.0269872	4.0839	4.40402
1.64818	-0.0269872	4.0839	4.40402
1.64818	-0.0269872	4.0839	4.40402
1.64818	-0.0269872	4.0839	4.40402
1.64818	-0.0269872	4.0839	4.40402
1.64818	-0.0269872	4.0839	4.40402
1.64818	-0.0269872	4.0839	4.40402
1.64818	-0.0269872	4.0839	4.40402
0.0998943	-1.05241	0.962439	1.42963
0.0998943	-1.05241	0.962439	1.42963
2.44898	-2.42454	2.32302	4.15599
2.37537	-1.63784	3.31174	4.39233
2.37537	-1.63784	3.31174	4.39233
0.679439	-3.96049	4.65197	6.14719
0.123887	-3.97686	2.93527	4.94435
-2.63728	-2.21952	3.08189	4.6238
-2.63728	-2.21952	3.08189	4.6238
-2.63728	-2.21952	3.08189	4.6238
-2.63728	-2.21952	3.08189	4.6238
-2.63728	-2.21952	3.08189	4.6238
-2.63728	-2.21952	3.08189	4.6238
-2.63728	-2.21952	3.08189	4.6238
-0.7205	0.720105	4.95344	5.0571
1.34796	1.76929	4.41817	4.94648
1.63627	-1.35815	3.1241	3.77915
2.03858	0.761216	2.24784	3.12858
2.03858	0.761216	2.24784	3.12858
2.03858	0.761216	2.24784	3.12858
0.394921	-0.159351	5.28804	5.30516
2.07983	-2.19883	3.51158	4.63591
2.07983	-2.19883	3.51158	4.63591
2.07983	-2.19883	3.51158	4.63591
2.07983	-2.19883	3.51158	4.63591
0.364569	-4.63462	1.31788	4.83212
0.401404	-3.80358	-1.21481	4.01299
-1.22566	-3.9126	-1.83213	4.49081
1.83058	-1.93294	1.11965	2.88806
-0.505847	0.410574	1.29067	1.44578
-0.505847	0.410574	1.29067	1.44578
-0.505847	0.410574	1.29067	1.44578
-0.505847	0.410574	1.29067	1.44578
-0.505847	0.410574	1.29067	1.44578
-0.505847	0.410574	1.29067	1.44578
-0.505847	0.410574	1.29067	1.44578
-0.505847	0.410574	1.29067	1.44578
0.708833	-1.10227	1.69471	2.14231
3.08716	-1.48193	4.00895	5.27241
3.08716	-1.48193	4.00895	5.27241
3.08716	-1.48193	4.00895	5.27241
4.37736	0.554721	6.99207	8.26789
1.87317	-2.33594	4.48318	5.39113
1.87317	-2.33594	4.48318	5.39113
2.05458	-2.1746	3.37542	4.5104
2.62619	-2.03129	1.39754	3.60225
2.76831	-4.08413	4.26751	6.52344
5.40432	-4.66955	4.13186	8.25128
5.3512	-3.01507	6.10222	8.65812
2.38959	0.168767	7.89943	8.25467
5.48099	2.11386	8.2567	10.1332
5.48099	2.11386	8.2567	10.1332
6.23814	2.32091	7.15365	9.77117
8.10747	0.150585	5.11063	9.585
8.10747	0.150585	5.11063	9.585
8.10747	0.150585	5.11063	9.585
8.10747	0.150585	5.11063	9.585
8.10747	0.150585	5.11063	9.585
8.1898	-0.66219	5.04987	9.6443
6.6157	-2.82958	7.26516	10.2253
6.6157	-2.82958	7.26516	10.2253
5.50353	-1.52711	5.83229	8.16312
6.00584	-1.5701	4.13381	7.45813
6.00584	-1.5701	4.13381	7.45813
6.00584	-1.5701	4.13381	7.45813
3.83353	1.55676	2.11433	4.64649
2.04002	-1.04081	4.4923	5.04239
2.17583	-3.46966	4.99825	6.46183
2.17583	-3.46966	4.99825	6.46183
-0.303748	-2.30132	3.16838	3.92771
-0.303748	-2.30132	3.16838	3.92771
-2.30109	-1.95234	3.5139	4.63186
-2.20455	-4.41916	4.47096	6.66172
-2.42116	-4.08031	5.90419	7.57432
-4.32794	-4.46107	7.99692	10.1283
-2.68583	-2.24326	10.7208	11.2775
-2.68583	-2.24326	10.7208	11.2775
-5.80144	-4.27081	9.52262	11.9406
-5.91845	-5.26897	6.60461	10.3156
-5.91845	-5.26897	6.60461	10.3156
-2.90125	-3.39277	7.13672	8.41789
-2.90125	-3.39277	7.13672	8.41789
-1.60073	-3.1827	7.96643	8.72673
1.48739	-0.514201	6.94321	7.11933
-0.362689	0.51179	6.6479	6.67743
-0.258514	0.849455	5.9527	6.01856
1.31114	0.683949	2.96306	3.31158
1.31114	0.683949	2.96306	3.31158
-0.831605	-0.739898	3.02223	3.22069
-0.831605	-0.739898	3.02223	3.22069
-2.50829	-2.34492	4.78758	5.89161
-2.40074	-2.47387	6.08294	6.99184
-2.40074	-2.47387	6.08294	6.99184
-2.40074	-2.47387	6.08294	6.99184
-3.98623	-0.501457	4.23395	5.83677
-1.03095	-0.91585	6.97443	7.10945
-1.05162	1.66805	4.45937	4.87589
-0.2298	3.37061	4.12021	5.32822
0.414655	1.15518	4.82187	4.97562
0.118951	2.55967	3.65981	4.46769
1.58101	1.74101	4.07441	4.70442
1.58101	1.74101	4.07441	4.70442
1.58101	1.74101	4.07441	4.70442
1.01519	1.28168	4.9163	5.18105
1.01519	1.28168	4.9163	5.18105
-0.535793	2.44939	3.37603	4.20525
-0.535793	2.44939	3.37603	4.20525
-0.535793	2.44939	3.37603	4.20525
-2.71922	2.21565	2.32026	4.20557
-2.71922	2.21565	2.32026	4.20557
-3.65906	1.24883	3.77959	5.40681
-2.24533	-1.38733	2.0302	3.32985
-3.52985	-0.943017	2.50966	4.43255
-3.52985	-0.943017	2.50966	4.43255
-0.464177	0.516406	5.67157	5.71391
0.382608	0.323846	4.99064	5.01575
0.382608	0.323846	4.99064	5.01575
0.977386	-1.08524	5.98358	6.15924
1.43326	1.73746	3.84622	4.45718
1.43326	1.73746	3.84622	4.45718
1.43326	1.73746	3.84622	4.45718
-1.731	0.439982	3.96199	4.34596
-1.731	0.439982	3.96199	4.34596
-1.731	0.439982	3.96199	4.34596
-1.731	0.439982	3.96199	4.34596
-1.731	0.439982	3.96199	4.34596
-1.731	0.439982	3.96199	4.34596
0.962948	-0.859967	4.161	4.35669
0.962948	-0.859967	4.161	4.35669
0.962948	-0.859967	4.161	4.35669
0.804822	-1.00781	1.44963	1.94032
0.804822	-1.00781	1.44963	1.94032
0.804822	-1.00781	1.44963	1.94032
2.30909	-1.50512	3.585	4.52211
2.30909	-1.50512	3.585	4.52211
0.685317	-4.49067	3.06799	5.48164
2.914	-4.00841	2.19681	5.42077
2.914	-4.00841	2.19681	5.42077
2.914	-4.00841	2.19681	5.42077
2.914	-4.00841	2.19681	5.42077
